dataset,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,departure_time
train,Hamilton Viewpoint Park,47.59327621149741,-122.38603073234243,Lumen Field,47.595050883007005,-122.3316718890206,transit,1749580510
train,Hamilton Viewpoint Park,47.59327621149741,-122.38603073234243,Lumen Field,47.595050883007005,-122.3316718890206,walking,1749580510
train,SeaTac/Airport Station - light rail station,47.44534852757398,-122.29689677665228,Sky View Observatory - Columbia Center,47.604361063516045,-122.33101084091537,driving,1749580510
train,SeaTac/Airport Station - light rail station,47.44534852757398,-122.29689677665228,Sky View Observatory - Columbia Center,47.604361063516045,-122.33101084091537,bicycling,1749580510
train,SeaTac/Airport Station - light rail station,47.44534852757398,-122.29689677665228,Sky View Observatory - Columbia Center,47.604361063516045,-122.33101084091537,transit,1749580510
train,SeaTac/Airport Station - light rail station,47.44534852757398,-122.29689677665228,Sky View Observatory - Columbia Center,47.604361063516045,-122.33101084091537,walking,1749580510
train,Historic Chinatown Gate,47.598437167923336,-122.3273775033157,Roosevelt Station - light rail station,47.676085552861196,-122.31600512143781,driving,1749580510
train,Historic Chinatown Gate,47.598437167923336,-122.3273775033157,Roosevelt Station - light rail station,47.676085552861196,-122.31600512143781,bicycling,1749580510
train,Historic Chinatown Gate,47.598437167923336,-122.3273775033157,Roosevelt Station - light rail station,47.676085552861196,-122.31600512143781,transit,1749580510
train,Historic Chinatown Gate,47.598437167923336,-122.3273775033157,Roosevelt Station - light rail station,47.676085552861196,-122.31600512143781,walking,1749580510
train,Tacoma General Station - light rail station,47.2600674682266,-122.45355469130534,Klondike Gold Rush National Historical Park,47.599293724497805,-122.33177757029932,driving,1749580510
train,Tacoma General Station - light rail station,47.2600674682266,-122.45355469130534,Klondike Gold Rush National Historical Park,47.599293724497805,-122.33177757029932,bicycling,1749580510
train,Tacoma General Station - light rail station,47.2600674682266,-122.45355469130534,Klondike Gold Rush National Historical Park,47.599293724497805,-122.33177757029932,transit,1749580510
train,Tacoma General Station - light rail station,47.2600674682266,-122.45355469130534,Klondike Gold Rush National Historical Park,47.599293724497805,-122.33177757029932,walking,1749580510
train,"University of Washington Station
- light rail station",47.65027972126398,-122.30374414254722,Shoreline South/148th Station - Light rail station,47.73609123674782,-122.32524360332111,driving,1749580510
train,"University of Washington Station
- light rail station",47.65027972126398,-122.30374414254722,Shoreline South/148th Station - Light rail station,47.73609123674782,-122.32524360332111,bicycling,1749580510
train,"University of Washington Station
- light rail station",47.65027972126398,-122.30374414254722,Shoreline South/148th Station - Light rail station,47.73609123674782,-122.32524360332111,transit,1749580510
train,"University of Washington Station
- light rail station",47.65027972126398,-122.30374414254722,Shoreline South/148th Station - Light rail station,47.73609123674782,-122.32524360332111,walking,1749580510
train,Kent Station  - train station,47.38456169019029,-122.23294597098803,Lumen Field,47.595050883007005,-122.3316718890206,driving,1749580510
train,Kent Station  - train station,47.38456169019029,-122.23294597098803,Lumen Field,47.595050883007005,-122.3316718890206,bicycling,1749580510
train,Kent Station  - train station,47.38456169019029,-122.23294597098803,Lumen Field,47.595050883007005,-122.3316718890206,transit,1749580510
train,Kent Station  - train station,47.38456169019029,-122.23294597098803,Lumen Field,47.595050883007005,-122.3316718890206,walking,1749580510
train,Alki Beach Park,47.58018301977956,-122.40849487681072,T-Mobile Park,47.59146256859391,-122.33264630296841,driving,1749580510
train,Alki Beach Park,47.58018301977956,-122.40849487681072,T-Mobile Park,47.59146256859391,-122.33264630296841,bicycling,1749580510
train,Alki Beach Park,47.58018301977956,-122.40849487681072,T-Mobile Park,47.59146256859391,-122.33264630296841,transit,1749580510
train,Alki Beach Park,47.58018301977956,-122.40849487681072,T-Mobile Park,47.59146256859391,-122.33264630296841,walking,1749580510
train,Silver Cloud Hotel - Seattle Stadium,47.592565806580176,-122.33370726727544,"6th Ave Station - light rail station
",47.25692010442415,-122.45286364899901,driving,1749580510
